"PROCOD","PRONOM","","","","","","","",""
"A","SALTA","","","","","","","",""
"B","BUENOS AIRES","","","","","","","",""
"C","CAPITAL FEDERAL","","","","","","","",""
"D","SAN LUIS","","","","","","","",""
"E","ENTRE RIOS","","","","","","","",""
"F","FORMOSA","","","","","","","",""
"G","SANTIAGO DEL ESTERO","","","","","","","",""
"H","CHACO","","","","","","","",""
"J","SAN JUAN","","","","","","","",""
"K","CATAMARCA","","","","","","","",""
"L","LA PAMPA","","","","","","","",""
"M","MENDOZA","","","","","","","",""
"N","MISIONES","","","","","","","",""
"P","LA RIOJA","","","","","","","",""
"Q","NEUQ�EN","","","","","","","",""
"R","RIO NEGRO","","","","","","","",""
"S","SANTA F�","","","","","","","",""
"T","TUCUM�N","","","","","","","",""
"U","CHUBUT","","","","","","","",""
"V","TIERRA DEL FUEGO","","","","","","","",""
"W","CORRIENTES","","","","","","","",""
"X","C�RDOBA","","","","","","","",""
"Y","JUJUY","","","","","","","",""
"Z","SANTA CRUZ","","","","","","","",""
