"TIPCOD","TIPDES","","","","","","","",""
"F","FRAGANCIAS 50 M","","","","","","","",""
"C","ESE RELAJ.10 ML","","","","","","","",""
"","TODOS","","","","","","","",""
"M","SAHUMERIOS","","","","","","","",""
"U","ESENCIA HORNI","","","","","","","",""
"B","PERF.PARA AUTO","","","","","","","",""
"E","BODY SPLAST 112","","","","","","","",""
"J","JABON LIQUIDO","","","","","","","",""
"T","ESPUMA BA�O 250","","","","","","","",""
"S","SALES BA�O 250","","","","","","","",""
"G","PERFUME MASCOTA","","","","","","","",""
"P","AEROSOLES 270","","","","","","","",""
"D","EXTRACTO 200 ML","","","","","","","",""
"A","GEL DE DUCHA","","","","","","","",""
"V","ACEITE MASAJES","","","","","","","",""
"O","ALCOHOL EN GEL","","","","","","","",""
"0","DESCUENTO","","","","","","","",""
"1","LIMPIA CRISTA","","","","","","","",""
"H","PERFUMINA 260","","","","","","","",""
"I","FRAGANCIAS 53 M","","","","","","","",""
"K","ESTUCHE REGALO","","","","","","","",""
"R","JABON X 5 LITRS","","","","","","","",""
"L","IVA","","","","","","","",""
"Q","","","","","","","","",""
"2","LIMPIA PANTALLA","","","","","","","",""
"3","BI 5L PERFUMINA","","","","","","","",""
"4","ESPUMA 500 ML","","","","","","","",""
"5","BIDON EXT.2 L","","","","","","","",""
"Z","PERFUMINAS 250","","","","","","","",""
"6","ESEN HUMIFI 10","","","","","","","",""
"7","APAR, DE AEROSO","","","","","","","",""
"8","DIF.AROM.100 ML","","","","","","","",""
"9","REPU.PERFUMINA","","","","","","","",""
"N","COLONIA BB","","","","","","","",""
"�","EXTRACTO 100 ML","","","","","","","",""
