"TIPCOD","SUBTIPCOD","SUBTIPDES","","","","","","","",""
"F","FM","FRAGANCIAS MASCULINAS","","","","","","","",""
"M","FC","SAHUMERIOS","","","","","","","",""
"J","JL","JABON LIQUIDO","","","","","","","",""
"S","S3","SALES DE BA�O 300 GRS.","","","","","","","",""
"S","S6","SALES DE BA�O 600 GRS.","","","","","","","",""
"H","H","AMBIENTE ROPA SUP.260 ML","","","","","","","",""
"I","01","FRAGANCIAS 53 ML FEMENINO","","","","","","","",""
"I","02","FRAGANCIAS 53 ML MASC.","","","","","","","",""
"K","600","ESTUCHE REGALO","","","","","","","",""
"K","601","ESTUCHE REGALO HOMBRE","","","","","","","",""
"3","A","BIDONES 5 LITROS PERFUMIA","","","","","","","",""
"F","FF","FRAGANCIAS FEMENINAS","","","","","","","",""
"U","ESE","ESENCIA HORNILLO","","","","","","","",""
"Q","CC","CREMA CORPORAL 250 ML","","","","","","","",""
"Z","PER","PERFUMINA 250 ML","","","","","","","",""
"D","EA","EXTARCTO AROMATICO 200 ML","","","","","","","",""
"6","6","ESENCIA HIMIFICADOR 10 ML","","","","","","","",""
"I","03","FRAGANCIAS 53 ML FEM EX","","","","","","","",""
"I","04","FRAGANCIAS 53 ML MASC.EX","","","","","","","",""
"8","06","DIFUSOR AROMATICO 100 ML","","","","","","","",""
"1","LL","LIMPIA CRISTALES 50 ML","","","","","","","",""
"2","LP","LIMPIA PANTALLAS 200 ML","","","","","","","",""
"0","199","OCA","","","","","","","",""
"R","JX5","JABON LIQUIDO 5 LITROS","","","","","","","",""
"E","BS","BODY SPLAST 112 ML","","","","","","","",""
"G","G","PERFUME MASCOTAS","","","","","","","",""
"K","602","ESTUCHE MADERA","","","","","","","",""
"A","GEL","GEL DE DUCHA 135 ML","","","","","","","",""
"V","610","ACEITE","","","","","","","",""
"V","611","ACEITE","","","","","","","",""
"5","BID","BIDON EXTRA,ARO. 2L","","","","","","","",""
"T","ESP","ESPUMA DE BA�O 250 ML","","","","","","","",""
"4","ESP","ESPUMA DE BA�O 500 ML","","","","","","","",""
"P","AER","AEROSOLES 270 ML","","","","","","","",""
"B","AUT","PERFUME AUTO 50 ML","","","","","","","",""
"7","APA","APARATOS AEROSOLES","","","","","","","",""
"C","ER","ESENCIA RELAJANTE 10 ML","","","","","","","",""
"N","N","COLONIA BB","","","","","","","",""
"�","�","EXTRACTO 100 ML","","","","","","","",""
"L","L","IVA","","","","","","","",""
"2","LL","LIMPIA PANTALLA 60 ML","","","","","","","",""
"9","PER","REPUESTO PERFUMINA","","","","","","","",""
"O","ALC","ALCOHOL EN GEL","","","","","","","",""
"0","198","BARBIJOS","","","","","","","",""
"O","BAR","BARBIJOS","","","","","","","",""
"O","ENV","ENVASES COMPLETOS","","","","","","","",""
"O","SAN","SANITIZANTE","","","","","","","",""
"H","P2","REP PERF. 200 ML C/ ATO","","","","","","","",""
"H","P6","PERFUMINA 65 ML","","","","","","","",""
"9","60M","PERFUMINA 60 ML","","","","","","","",""
"0","202","DESCUENTO 10%","","","","","","","",""
