"VENCOD","TIPCOD","VENCOM","","","","","","","",""
"10","F","12","","","","","","","",""
"10","B","20","","","","","","","",""
"21","F","12","","","","","","","",""
"21","C","12","","","","","","","",""
"21","L","12","","","","","","","",""
"21","M","12","","","","","","","",""
"21","E","12","","","","","","","",""
"25","C","10","","","","","","","",""
"25","F","10","","","","","","","",""
"15","F","13","","","","","","","",""
"15","C","13","","","","","","","",""
"3","F","12","","","","","","","",""
"3","C","12","","","","","","","",""
"10","C","12","","","","","","","",""
"11","F","12","","","","","","","",""
"11","C","12","","","","","","","",""
"20","F","12","","","","","","","",""
"20","C","12","","","","","","","",""
"23","F","12","","","","","","","",""
"23","C","12","","","","","","","",""
"24","F","12","","","","","","","",""
"24","C","12","","","","","","","",""
"15","M","13","","","","","","","",""
"20","M","12","","","","","","","",""
"24","M","12","","","","","","","",""
"25","M","10","","","","","","","",""
"3","M","12","","","","","","","",""
"5","C","12","","","","","","","",""
"5","F","12","","","","","","","",""
"5","M","12","","","","","","","",""
"28","C","12","","","","","","","",""
"28","F","12","","","","","","","",""
"28","M","12","","","","","","","",""
"101","","0","","","","","","","",""
"102","1","0","","","","","","","",""
"25","","0","","","","","","","",""
